"","codigo","descripcion","cuenca","zona","este","norte","categoria"
"1","QAnco1","Quebrada Ancoma, aguas arriba del puente Ancoma.","CAPLINA",19,398501,8051665,"C1A2"
"2","QArum1","Quebrada Aruma, frente a zona baja del nevado Chuquipiña.","CAPLINA",19,411482,8042498,"C1A2"
"3","QPalc1","Quebrada Palca, aprox. 50 m. aguas abajo del centro poblado Causuri.","CAPLINA",19,400195,8035310,"C1A2"
"4","QPalc2","Quebrada Palca, zona el Olivar.","CAPLINA",19,396267,8032224,"C1A2"
"5","QPisc1","Quebrada Piscullane, aguas arriba de la intersección con la trocha carrozable de la zona de Paso de los vientos hacia el poblado Talabaya.","CAPLINA",19,411649,8052761,"C1A2"
"6","QToqu1","Quebrada Toquela, a 400 m aguas arriba del puente Toquela - Challaviento.","CAPLINA",19,399816,8048609,"C1A2"
"7","QToqu2","QuebradaToquela, aprox. 3 Km aguas abajo del vertimiento Challaviento.","CAPLINA",19,399329,8048526,"C1A2"
"8","RCapl1","Río Caplina, aprox. 20 m aguas arriba del puente Caplina (Ex Chontaque), Sector Totoroco.","CAPLINA",19,401912,8043657,"C1A2"
"9","RCapl2","Rio Caplina, aprox. 500m aguas abajo del centro Poblado Caplina.","CAPLINA",19,400079,8043627,"C1A2"
"10","RCapl3","Río Caplina,  aguas arriba de la bocatoma Challata.","CAPLINA",19,383538,8029925,"C1A2"
"11","RCapl4","Rio Caplina aprox. 3km aguas abajo del santuario Pallagua.","CAPLINA",19,387520,8035439,"C1A2"
"12","RCapl5","Rio Caplina, aguas debajo de la union del rio Caplina con Qda. Palca.","CAPLINA",19,380011,8023677,"C1A2"
"13","RQuil1","Río Quilvire, aprox. 500 m aguas arriba de la laguna Vilacota.","MAURI",19,389098,8111469,"C4"
"14","RMaur1","Rio Mauri, aguas abajo de la confluencia del rio Ancoaque con Laguna Tacata.","MAURI",19,397832,8100052,"C4"
"15","QPuti1","Quebrada Putina, aprox. 100 m  antes de la confluencia con el rio Mauri.","MAURI",19,402888,8096216,"C4"
"16","RMaur3","Rio Mauri, aprox, 10 m aguas abajo de los baños termales Calachaca.","MAURI",19,408331,8094532,"C4"
"17","RMaur4","Río Mauri, aprox. 100 m antes de la confluencia con el río Chiliculco.","MAURI",19,416977,8093143,"C4"
"18","RMaur5","Rio Mauri, aguas abajo de la confluencia del rio Mauri con el rio Callapuma.","MAURI",19,424232,8088875,"C4"
"19","RMaur7","Rio Mauri, aguas abajo de la confluencia con el río Chiliculco.","MAURI",19,417159,8093133,"C4"
"20","LVila1S","Laguna Vilacota, parte media del espejo de agua.","MAURI",19,389298,8104816,"C4"
"21","LVila2S","Laguna Vilacota, parte media del espejo de agua.","MAURI",19,389809,8103650,"C4"
"22","EPauc1S","Embalse Paucarani, al centro del espejo de agua, nivel superficie.","USHUSUMA",19,418026,8061405,"C4"
"23","EPauc1F","Embalse Paucarani, al centro del espejo de agua, nivel fondo.","USHUSUMA",19,418026,8061405,"C4"
"24","EPauc2S","Embalse Paucarani, cerca de la presa de concreto, nivel superficie.","USHUSUMA",19,418817,8061230,"C4"
"25","EPauc2F","Embalse  Paucarani, cerca de la presa de concreto, nivel fondo.","USHUSUMA",19,418817,8061230,"C4"
"26","QCuri1","Quebrada Curimani, ingreso a la represa Paucarani.","USHUSUMA",19,417240,8061895,"C4"
"27","QCari1","Quebrada Carini, salida de la represa Paucarani.","USHUSUMA",19,419009,8061143,"C4"
"28","QCari2","Quebrada Carini, aproximadamente a 100 metros de la confluencia con la Quebrada Uncalluta.","USHUSUMA",19,421520,8060627,"C4"
"29","QCulc1","Quebrada Culcavira, ingreso a la represa Paucarani.","USHUSUMA",19,417525,8062177,"C4"
"30","QUnca1","Quebrada Uncalluta, aguas arriba de la union con el rio Ushusuma.","USHUSUMA",19,421545,8060662,"C4"
"31","RUshu1","Rio Ushusuma, aguas arriba de intersección de camino con el rio Ushusuma - Sector Calacollo","USHUSUMA",19,426852,8056513,"C4"
"32","RUshu2","Rio Ushusuma, camino afirmado aguas arriba de bocatoma del canal Uchusuma","USHUSUMA",19,432448,8056606,"C4"
